ihale_id,ihale_no,ihale_tipi,oim,obm,cografi_bolge,teminat_orani,parti_no,urun_adi,urun_turu,agac_turu,sinif,boy_kodu,cap_kodu,katilimci_sayisi,parti_durum,boy,adet,miktar_birim,miktar_m3_hesap,muhammen_birim_fiyat,teminat_tutari,toplam_muhammen_hesap,detay_durum,kaynak_link,ust_bilgi_durumu,kayit_tarihi,guncelleme_id
204288,3970,Açık Artırmalı Satış,GÖRDES OİM,İZMİR OBM,Ege,%3.00,24,İbreli Dikili Ağaç,Dikili Ağaç,İbreli,,,,0,Açık Artırmada Satılmayı Bekliyor,-,9264,m³ 1210.052,1210.044,1500.0,54452.0,1815066.67,,https://esatis.ogm.gov.tr/ihaleler/204288/partiler/24/istifler,Tam,2026-06-14 11:27:37,20260614_112731
204286,3969,Açık Artırmalı Satış,AKHİSAR OİM,,,%3.00,160,Meşe Lif Yonga Odunu,Lif Yonga,Meşe,,,,0,Açık Artırmada Satılmayı Bekliyor,0,0,Ster 113.000,113.002,1610.0,5458.0,181933.33,,https://esatis.ogm.gov.tr/ihaleler/204286/partiler/160/istifler,Kısmi - OBM kaynakta yok,2026-06-14 11:27:56,20260614_112731
204286,3969,Açık Artırmalı Satış,AKHİSAR OİM,,,%3.00,189,Meşe Lif Yonga Odunu,Lif Yonga,Meşe,,,,0,Açık Artırmada Satılmayı Bekliyor,0,0,Ster 54.000,53.996,1610.0,2608.0,86933.33,,https://esatis.ogm.gov.tr/ihaleler/204286/partiler/189/istifler,Kısmi - OBM kaynakta yok,2026-06-14 11:27:58,20260614_112731
204286,3969,Açık Artırmalı Satış,AKHİSAR OİM,,,%3.00,222,Meşe Lif Yonga Odunu,Lif Yonga,Meşe,,,,0,Açık Artırmada Satılmayı Bekliyor,0,0,Ster 48.000,47.992,1610.0,2318.0,77266.67,,https://esatis.ogm.gov.tr/ihaleler/204286/partiler/222/istifler,Kısmi - OBM kaynakta yok,2026-06-14 11:28:03,20260614_112731
204286,3969,Açık Artırmalı Satış,AKHİSAR OİM,,,%3.00,223,Meşe Lif Yonga Odunu,Lif Yonga,Meşe,,,,0,Açık Artırmada Satılmayı Bekliyor,0,0,Ster 267.000,266.998,1610.0,12896.0,429866.67,,https://esatis.ogm.gov.tr/ihaleler/204286/partiler/223/istifler,Kısmi - OBM kaynakta yok,2026-06-14 11:28:05,20260614_112731
204284,3968,Açık Artırmalı Satış,AKYAZI OİM,,,%3.00,321,2.Sn.Nb.Kl. Kayın Tomruk,Tomruk,Kayın,2. Sınıf,Normal Boy,Kalın,0,Açık Artırmada Satılmayı Bekliyor,3.5-4,30,m³ 23.707,23.707,5800.0,4125.0,137500.0,,https://esatis.ogm.gov.tr/ihaleler/204284/partiler/321/istifler,Kısmi - OBM kaynakta yok,2026-06-14 11:28:35,20260614_112731
204284,3968,Açık Artırmalı Satış,AKYAZI OİM,,,%3.00,322,2.Sn.Nb.Kl. Kayın Tomruk,Tomruk,Kayın,2. Sınıf,Normal Boy,Kalın,0,Açık Artırmada Satılmayı Bekliyor,3-3.5-4,67,m³ 42.089,42.086,5800.0,7323.0,244100.0,,https://esatis.ogm.gov.tr/ihaleler/204284/partiler/322/istifler,Kısmi - OBM kaynakta yok,2026-06-14 11:28:37,20260614_112731
204284,3968,Açık Artırmalı Satış,AKYAZI OİM,,,%3.00,323,2.Sn.Nb.Kl. Kayın Tomruk,Tomruk,Kayın,2. Sınıf,Normal Boy,Kalın,0,Açık Artırmada Satılmayı Bekliyor,3,31,m³ 15.965,15.966,5800.0,2778.0,92600.0,,https://esatis.ogm.gov.tr/ihaleler/204284/partiler/323/istifler,Kısmi - OBM kaynakta yok,2026-06-14 11:28:40,20260614_112731
204284,3968,Açık Artırmalı Satış,AKYAZI OİM,,,%3.00,324,2.Sn.Nb.Kl. Kayın Tomruk,Tomruk,Kayın,2. Sınıf,Normal Boy,Kalın,0,Açık Artırmada Satılmayı Bekliyor,3.5-4,50,m³ 30.348,30.351,5800.0,5281.0,176033.33,,https://esatis.ogm.gov.tr/ihaleler/204284/partiler/324/istifler,Kısmi - OBM kaynakta yok,2026-06-14 11:28:43,20260614_112731
204284,3968,Açık Artırmalı Satış,AKYAZI OİM,,,%3.00,325,2.Sn.Nb.Kl. Kayın Tomruk,Tomruk,Kayın,2. Sınıf,Normal Boy,Kalın,0,Açık Artırmada Satılmayı Bekliyor,4,30,m³ 21.090,21.092,5800.0,3670.0,122333.33,,https://esatis.ogm.gov.tr/ihaleler/204284/partiler/325/istifler,Kısmi - OBM kaynakta yok,2026-06-14 11:28:45,20260614_112731
